latitude,longitude,altitude_ft
51.6323,0.3362,10997.37568
51.6328,0.3357,10997.37568
51.634,0.3348,10997.37568
51.6349,0.334,10997.37568
51.6359,0.333,10997.37568
51.6366,0.3323,10997.37568
51.6377,0.3311,10997.37568
51.6385,0.3302,10997.37568
51.639,0.3297,10997.37568
51.6404,0.3279,10997.37568
51.6412,0.3267,10997.37568
51.6421,0.3256,10997.37568
51.6429,0.3242,10997.37568
51.6438,0.3229,10997.37568
51.6443,0.3219,10997.37568
51.6451,0.3206,10997.37568
51.6459,0.3191,10997.37568
51.6466,0.3177,10997.37568
51.6474,0.316,10997.37568
51.648,0.3146,10997.37568
51.6486,0.3132,10997.37568
51.6492,0.3117,10997.37568
51.6498,0.3101,10997.37568
51.6505,0.3078,10997.37568
51.651,0.3064,10997.37568
51.6515,0.3048,10997.37568
51.6519,0.3032,10997.37568
51.6523,0.3017,10000.00032
51.6527,0.2998,10000.00032
51.6532,0.2979,10000.00032
51.6535,0.296,10000.00032
51.6538,0.2942,10000.00032
51.654,0.2931,10000.00032
51.6543,0.2904,10000.00032
51.6545,0.2885,10000.00032
51.6547,0.2866,10000.00032
51.6549,0.2846,10000.00032
51.6549,0.2837,10000.00032
51.655,0.2816,10000.00032
51.655,0.2798,10000.00032
51.655,0.2759,10000.00032
51.6549,0.2738,10000.00032
51.6548,0.2719,10000.00032
51.6546,0.268,10000.00032
51.646,0.1555,10000.00032
51.6456,0.1518,10000.00032
51.6453,0.1499,10000.00032
51.6451,0.1482,10000.00032
51.6448,0.1463,10000.00032
51.6445,0.1447,10000.00032
51.6441,0.1428,10000.00032
51.6437,0.1411,10000.00032
51.6434,0.1394,10000.00032
51.6429,0.1374,10000.00032
51.6418,0.1335,10000.00032
51.6412,0.1317,10000.00032
51.6406,0.1298,10000.00032
51.64,0.1282,10000.00032
51.6394,0.1266,10000.00032
51.6387,0.1248,10000.00032
51.6383,0.1239,10000.00032
51.6372,0.1215,10000.00032
51.6368,0.1207,10000.00032
51.6361,0.1193,10000.00032
51.6351,0.1176,10000.00032
51.6342,0.1162,10000.00032
51.6334,0.1148,10000.00032
51.6324,0.1134,10000.00032
51.632,0.1128,10000.00032
51.6301,0.1104,10000.00032
51.6291,0.1094,10000.00032
51.6281,0.1082,10000.00032
51.627,0.1072,10000.00032
51.6259,0.1063,10000.00032
51.6247,0.1053,10000.00032
51.6242,0.1049,10000.00032
51.6225,0.1037,10000.00032
51.6213,0.103,10000.00032
51.6204,0.1024,10000.00032
51.6191,0.1018,10000.00032
51.6179,0.1013,10000.00032
51.6168,0.1009,10000.00032
51.6157,0.1005,10000.00032
51.613,0.0999,10000.00032
51.6118,0.0997,10000.00032
51.61,0.0995,10000.00032
51.6093,0.0995,10000.00032
51.6082,0.0996,10000.00032
51.6068,0.0996,10000.00032
51.6055,0.0998,10000.00032
51.6041,0.1,10000.00032
51.6029,0.1003,10000.00032
51.6014,0.1007,10000.00032
51.6001,0.1012,10000.00032
51.5988,0.1018,10000.00032
51.5976,0.1024,10000.00032
51.5964,0.1031,10000.00032
51.5958,0.1035,10000.00032
51.5941,0.1045,10000.00032
51.5929,0.1054,10000.00032
51.5918,0.1063,10000.00032
51.5912,0.1068,10000.00032
51.5901,0.1079,10000.00032
51.589,0.1089,10000.00032
51.5878,0.1102,10000.00032
51.5869,0.1113,10000.00032
51.5858,0.1127,10000.00032
51.585,0.1138,10000.00032
51.5841,0.1151,10000.00032
51.5829,0.1171,10000.00032
51.5821,0.1184,10000.00032
51.5813,0.1199,10000.00032
51.5804,0.1214,10000.00032
51.58,0.1224,10000.00032
51.579,0.1246,10000.00032
51.5784,0.126,10000.00032
51.5778,0.1275,10000.00032
51.5767,0.1308,10000.00032
51.5762,0.1326,10000.00032
51.5756,0.1344,10000.00032
51.5752,0.1363,10000.00032
51.5748,0.1382,10000.00032
